id,dataset,model,article,reference_summary,generated_summary,elapsed_seconds,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,meteor,bertscore_precision,bertscore_recall,bertscore_f1
38295789,xsum,llama3.1:latest,"The ex-Reading defender denied fraudulent trading charges relating to the Sodje Sports Foundation - a charity to raise money for Nigerian sport.
Mr Sodje, 37, is jointly charged with elder brothers Efe, 44, Bright, 50 and Stephen, 42.
Appearing at the Old Bailey earlier, all four denied the offence.
The charge relates to offences which allegedly took place between 2008 and 2014.
Sam, from Kent, Efe and Bright, of Greater Manchester, and Stephen, from Bexley, are due to stand trial in July.
They were all released on bail.",Former Premier League footballer Sam Sodje has appeared in court alongside three brothers accused of charity fraud.,"Four brothers, including former Reading defender Sam Sodje, have denied charges of fraudulent trading related to their charity, the Sodje Sports Foundation, and are set to stand trial in July.",5.19,0.2978723404255319,0.044444444444444446,0.21276595744680848,0.13661202185792348,0.8977307081222534,0.9219226837158203,0.9096658825874329
40202028,xsum,llama3.1:latest,"Voges was forced to retire hurt on 86 after suffering the injury while batting during the County Championship draw with Somerset on 4 June.
Middlesex hope to have the Australian back for their T20 Blast game against Hampshire at Lord's on 3 August.
The 37-year-old has scored 230 runs in four first-class games this season at an average of 57.50.
""Losing Adam is naturally a blow as he contributes significantly to everything we do,"" director of cricket Angus Fraser said.
""His absence, however, does give opportunities to other players who are desperate to play in the first XI.
""In the past we have coped well without an overseas player and I expect us to do so now.""
Defending county champions Middlesex are sixth in the Division One table, having drawn all four of their matches this season.
Voges retired from international cricket in February with a Test batting average of 61.87 from 31 innings, second only to Australian great Sir Donald Bradman's career average of 99.94 from 52 Tests.",Middlesex batsman Adam Voges will be out until August after suffering a torn calf muscle in his right leg.,"Middlesex's Adam Voges has been forced to retire hurt with an injury and is expected to miss their upcoming T20 Blast game, but the team remains confident that they can cope without him.",3.32,0.11320754716981131,0.0392156862745098,0.11320754716981131,0.09191176470588236,0.8784976005554199,0.8957348465919495,0.8870325684547424
36177725,xsum,llama3.1:latest,"Seven photographs taken in the Norfolk countryside by photographer Josh Olins will appear in the June edition.
In her first sitting for a magazine, the duchess is seen looking relaxed and wearing casual clothes.
The shoot was in collaboration with the National Portrait Gallery, where two images are being displayed in the Vogue 100: A Century of Style exhibition.
The duchess, who has a keen interest in photography, has been patron of the National Portrait Gallery since 2012.
Nicholas Cullinan, director of the National Portrait Gallery, said: ""Josh has captured the duchess exactly as she is - full of life, with a great sense of humour, thoughtful and intelligent, and in fact, very beautiful.""
He said the images also encapsulated what Vogue had done over the past 100 years - ""to pair the best photographers with the great personalities of the day, in order to reflect broader shifts in culture and society"".
Alexandra Shulman, editor-in-chief of British Vogue, said: ""To be able to publish a photographic shoot with the Duchess of Cambridge has been one of my greatest ambitions for the magazine.""
The collaboration for the June edition had resulted in ""a true celebration of our centenary as well as a fitting tribute to a young woman whose interest in both photography and the countryside is well known"", she said.
Other royal portraits to have featured in the fashion magazine include Diana, Princess of Wales - who graced the cover four times - and Princess Anne.
The duchess is to visit the exhibition at the National Portrait Gallery on Wednesday, Kensington Palace said.",The Duchess of Cambridge will feature on the cover of British Vogue to mark the magazine's centenary.,"The Duchess of Cambridge will be featured in the June edition of British Vogue with a photo shoot taken by Josh Olins in collaboration with the National Portrait Gallery, marking a milestone for the magazine's centenary.",3.57,0.5454545454545455,0.33962264150943394,0.5454545454545455,0.6944444444444444,0.8991301655769348,0.9677765965461731,0.9321913123130798
35751255,xsum,llama3.1:latest,"Chris Poole - known as ""moot"" online - created the site in 2003.
It has gone on to be closely associated with offensive and often illegal activity, including instances where the images of child abuse were shared.
It was widely credited as being the first place where leaked images of nude celebrities were posted following 2014's well-publicised security breach affecting Apple's iCloud service. That incident prompted a policy change on the site.
However, 4chan has also been the rallying point for many instances of online activism from the likes of Anonymous, the loosely organized hacktivism group.
Mr Poole shared news of his new position on blogging site Tumblr.
""When meeting with current and former Googlers, I continually find myself drawn to their intelligence, passion, and enthusiasm - as well as a universal desire to share it with others.""
""I'm also impressed by Google's commitment to enabling these same talented people to tackle some of the world's most interesting and important problems.
He added: ""I can't wait to contribute my own experience from a dozen years of building online communities, and to begin the next chapter of my career at such an incredible company.""
Mr Poole stepped down as the administrator of 4chan in January 2015. Now he is expected to turn his attentions to Google's social networking efforts.
His arrival was welcomed by Bradley Horowitz, the head of ""streams, photos and sharing"" at the search giant's floundering social network, Google+.
""I'm thrilled he's joining our team here at Google,"" Mr Horowitz said.
""Welcome Chris!ï»¿""
Several commentators described the appointment as ""unexpected"" but noted that Mr Poole's expertise with social media could prove useful to the search firm.
Follow Dave Lee on Twitter @DaveLeeBBC and on Facebook",Google has hired the creator of one of the web's most notorious forums - 4chan.,"Chris Poole, also known as ""moot"", has left his position as administrator of the online forum 4chan to join Google, where he will contribute his experience building online communities to the company's social networking efforts.",3.7,0.3137254901960784,0.08163265306122448,0.19607843137254902,0.14705882352941177,0.8714193105697632,0.9081284999847412,0.8893952965736389
35275743,xsum,llama3.1:latest,"Four police officers were injured in the incident on Friday night.
A man, aged 19, and a boy, aged 16, have been charged with six counts of aggravated vehicle taking.
They are due to appear before Belfast Magistrates' Court on Monday.
The 19-year-old man has also been charged with driving while disqualified and using a motor vehicle without insurance.",Two teenagers have been charged in connection with an incident in west Belfast in which a car collided with two police vehicles.,"Two teenagers, aged 16 and 19, have been charged with multiple crimes related to an incident that injured four police officers on Friday night.",3.09,0.3913043478260869,0.1818181818181818,0.3913043478260869,0.31637105855855857,0.9214515089988708,0.9312829971313477,0.9263411164283752
61df4979ac5fcc2b71be46ed6fe5a46ce7f071c3,cnn_dailymail,llama3.1:latest,"Sally Forrest, an actress-dancer who graced the silver screen throughout the '40s and '50s in MGM musicals and films such as the 1956 noir While the City Sleeps died on March 15 at her home in Beverly Hills, California. Forrest, whose birth name was Katherine Feeney, was 86 and had long battled cancer. Her publicist, Judith Goffin, announced the news Thursday. Scroll down for video . Actress: Sally Forrest was in the 1951 Ida Lupino-directed film 'Hard, Fast and Beautiful' (left) and the 1956 Fritz Lang movie 'While the City Sleeps' A San Diego native, Forrest became a protege of Hollywood trailblazer Ida Lupino, who cast her in starring roles in films including the critical and commercial success Not Wanted, Never Fear and Hard, Fast and Beautiful. Some of Forrest's other film credits included Bannerline, Son of Sinbad, and Excuse My Dust, according to her iMDB page. The page also indicates Forrest was in multiple Climax! and Rawhide television episodes. Forrest appeared as herself in an episode of The Ed Sullivan Show and three episodes of The Dinah Shore Chevy Show, her iMDB page says. She also starred in a Broadway production of The Seven Year Itch. City News Service reported that other stage credits included As You Like It, No, No, Nanette and Damn Yankees. Forrest married writer-producer Milo Frank in 1951. He died in 2004. She is survived by her niece, Sharon Durham, and nephews, Michael and Mark Feeney. Career: A San Diego native, Forrest became a protege of Hollywood trailblazer Ida Lupino, who cast her in starring roles in films .","Sally Forrest, an actress-dancer who graced the silver screen throughout the '40s and '50s in MGM musicals and films died on March 15 .
Forrest, whose birth name was Katherine Feeney, had long battled cancer .
A San Diego native, Forrest became a protege of Hollywood trailblazer Ida Lupino, who cast her in starring roles in films .","Sally Forrest, an actress-dancer born as Katherine Feeney, passed away on March 15 at the age of 86 due to a long battle with cancer. She had a successful career in Hollywood, appearing in MGM musicals and films such as ""While the City Sleeps"" and starring alongside Ida Lupino in several films. Forrest is survived by her niece and two nephews, and was married to writer-producer Milo Frank from 1951 until his death in 2004.",5.22,0.5263157894736842,0.1984732824427481,0.2556390977443609,0.38928903778150015,0.8833932280540466,0.8983383774757385,0.8908030986785889
21c0bd69b7e7df285c3d1b1cf56d4da925980a68,cnn_dailymail,llama3.1:latest,"A middle-school teacher in China has inked hundreds of sketches that are beyond be-leaf. Politics teacher Wang Lian, 35,  has created 1000 stunning ink drawings covering subjects as varied as cartoon characters and landscapes to animals, birds according to the People's Daily Online. The intricate scribbles on leaves feature Wang's favourite sites across the city of Nanjing, which include the Presidential Palace, Yangtze River Bridge, the ancient Jiming Temple and the Qinhuai River. Natural canvas: Artist and teacher Wang Lian has done hundreds of drawings, like this temple, on leaves she collects in the park and on the streets . Delicate: She uses an ink pen to gently draw the local scenes and buildings on the dried out leaves . 'Although teaching politics is my job, drawing is my passion and hobby,' said Wang. 'I first tried drawing on leaves about 10 years ago and fell in love with it as an art form immediately. 'It's like drawing on very old parchment paper, you have to be really careful that you don't damage the leaf because it is very fragile and this helps focus your attention and abilities.' Wang started giving the drawings away on Christmas Eve in 2012 when her junior high school son came home saying he wanted to prepare some gifts for his classmates. Being an avid painter, Wang decided to give her son's friends unique presents of gingko leaf paintings. Wang loves gingko leaves and will often pick them up along Gingko Avenue, near to her school, in Nanjing in east China's Jiangsu province. Every autumn she collects about 2,000 leaves from the ground to ensure she has enough to cover spoils too. Intricate: Teacher Wang has drawn hundreds of local scenes on leaves she has collected from the park . Hobby: The artist collects leaves every autumn and dries them out so she can sketch these impressive building scenes . 'The colour and shape of gingko leaves are particularly beautiful,' she said. 'I need to collect around 2000 leaves because this will include losses'. She takes them home where she then presses them between the pages of books. 'Luckily, I have quite a lot of books and I try to use old ones or ones that I've already read so I don't end up with nothing to read.' Once they are dried, she carefully takes each one and using an ink fountain pen creates her masterpieces. She said: 'Some people are into capturing beauty through photography, but for me, a digitalised image just isn't the same. New leaf: Politics teacher Wang Lian has drawn hundreds of doodles on leaves for the last 10 years . 'By drawing what I see I become far more a part of the process and part of the final piece. 'One day I hope to be able to put my collection on display, but for now it's really just for my own pleasure.' Wang's leaf paintings are turned into bookmarks, postcards and sometimes even given as gifts to her her students so she can share the beauty of leaf paintings. But locals who have had the luck of being able to see Wang's art have been gobsmacked. Local art collector On Hao, 58, said: 'These are truly remarkable and beautiful creations. 'She has so much talent she is wasted in teaching.'","Works include pictures of Presidential Palace and Yangtze River Bridge .
Has inked 1,000 pieces of art on leaves in last two years .
Gives work away to students in form of bookmarks and postcards .","Wang Lian, a 35-year-old politics teacher from China, has spent the past decade creating intricate ink drawings on leaves, featuring local scenes and landmarks from her city of Nanjing. She collects thousands of gingko leaves every autumn, dries them out, and then uses an ink fountain pen to bring her masterpieces to life. Wang's stunning leaf paintings have been met with amazement by locals, who consider her talent wasted in teaching, and she hopes one day to display her collection for the public to enjoy.",5.5,0.18032786885245902,0.016666666666666666,0.11475409836065574,0.12224938875305624,0.8400183320045471,0.8449736833572388,0.842488706111908
56f340189cd128194b2e7cb8c26bb900e3a848b4,cnn_dailymail,llama3.1:latest,"A man convicted of killing the father and sister of his former girlfriend in a fiery attack on the family's Southern California home was sentenced to death on Tuesday. Iftekhar Murtaza, 30, was sentenced for the murders of Jay Dhanak, 56, and his daughter Karishma, 20, in May 2007, the Orange County district attorney's office said. Murtaza was convicted in December 2013 of killing the pair in an attempt to reunite with his then-18-year-old ex-girlfriend Shayona Dhanak. She had ended their relationship citing her Hindu family's opposition to her dating a Muslim. To be executed: Iftekhar Murtaza, 30, was sentenced to death Tuesday for the May 21, 2007 murders of his ex-girlfriend's father and sister and the attempted murder of her mother . Authorities said Murtaza and a friend torched the family's Anaheim Hills home and kidnapped and killed Dhanak's father and sister, leaving their stabbed bodies burning in a park 2 miles from Dhanak's dorm room at the University of California, Irvine. Dhanak's mother, Leela, survived the attack. She was stabbed and left unconscious on a neighbor's lawn. Murtaza was interviewed by police several days later and arrested at a Phoenix airport with a ticket to his native Bangladesh and more than $11,000 in cash. Jurors recommended that Murtaza be sentenced to death for the crimes. Attack: Murtaza torched his ex-girlfriend's family's Orange County home after they broke-up, believing the murders of her family would reunited them . Religious differences: Murtaza dated Shayona Dhanak when she was 18 in 2007. She broke up with him when her Hindu parents allegedly told her they would stop paying her college tuition if she continued to date the Muslim man . Two of his friends were also sentenced to life in prison for the murders, but one of them, Vitaliy Krasnoperov, recently had his conviction overturned on appeal. Authorities said Krasnoperov hatched the plot to kill the Dhanaks with Murtaza and tried to help him hire a hit man. They said another friend, Charles Murphy Jr., helped Murtaza carry out the killings after Dhanak said she planned to go on a date with someone else. During the trial, Murtaza testified that he told many people he wanted to kill the Dhanaks because he was distraught over the breakup, but he said he didn't mean it literally. Didn't do it alone: Two of Murtaza's friends have been convicted in connection to the killings . Killer: Leela Dhanak testified how Iftekhar Murtaza, seen in this August photo, murdered her husband and elder daughter in a failed attempt to win over her younger daughter . Bloodbath: Autopsy reports showed Jayprakash Dhanak (left) suffered 29 stab wounds to his body, while a pathologist testified that Karishma Dhanak (right) was alive when her throat was slit and her body set alight .","Iftekhar Murtaza, 29, was convicted a year ago of killing his ex-girlfriend's family in a fiery attack on the family home in 2007 .
On Tuesday he was sentenced to death in Orange County .
Found guilty of stabbing Jaypraykash Dhanak, 56, slitting the throat of his 20-year-old daughter, Karishma, and setting their bodies on fire .
Wife Leela Dhanak was stabbed in the stomach and had her throat slashed, but miraculously survived .
Murtaza concocted the murder plot with two friends after Dhanka's youngest daughter, Shayona, broke up with him over religious differences .
Murtaza married a 20-year-old suspected murderess in jail in 2011 after exchanging letters with her for five months .","Iftekhar Murtaza, 30, has been sentenced to death for the murders of his ex-girlfriend's father and sister in a fiery attack on their Southern California home in May 2007. The motive behind the killings was reportedly Murtaza's attempt to reunite with his ex-girlfriend, Shayona Dhanak, who had ended their relationship due to her family's opposition to dating a Muslim. Two of Murtaza's friends were also convicted and sentenced to life in prison for their roles in the murders, although one of them had his conviction overturned on appeal.",5.78,0.4593301435406698,0.13526570048309178,0.23923444976076558,0.22818671454219028,0.8976414203643799,0.8601614236831665,0.8785018920898438
00a665151b89a53e5a08a389df8334f4106494c2,cnn_dailymail,llama3.1:latest,"Avid rugby fan Prince Harry could barely watch as England came up just short of the 26-point margin needed to win their first Six Nations since 2011 in a pulsating match at Twickenham. In a breathtaking spectacle, England defeated France 55-35 in 'Le Crunch' - just six points short of the total required to lift the trophy. Sporting a navy blue suit, the fourth-in-line to the throne squirmed in his seat as England got off to a difficult start, despite an early try. Scroll down for video . Stress: The Prince can barely watch as England beat France 55-35 but narrowly missed out on the Six Nations . Taking its toll: Harry looks anxious as England struggled to cope with France's impressive start to the match . Passion: Prince Harry belts out the national anthem, seated behind England coach Stuart Lancaster . Despite their herculean effort, England could not find a final try and finished second in the championship, behind Ireland. After the match, England head coach Stuart Lancaster praised his side for 'one of the most courageous performances' he has seen from his side. 'It will go down as one of the great games of rugby,' he added. Earlier in the day, Ireland thrashed 40-10 in Edinburgh to mark a dismal campaign for the Scots and an impressive Wales ran riot in Rome, thumping Italy 61-20. All smiles: The fourth-in-line to the throne grins alongside students from Reigate School, in Surrey . Before England's crunch match against France, Prince Harry had met girls from Reigate School and The Quest Academy, Croydon, who had played in the warm-up game. Harry - who is a Vice Patron of the Rugby Football Union (RFU) - also chatted with members of the armed forces at Twickenham . Looking dapper in his navy suit, the fourth-in-line to the throne then took his seat in the stand before singing the national anthem with gusto. Patriotic: Harry chats to a member of the army - he announced this week he will quit the army in the summer . Pointing the way: The Prince is an avid rugby fan - England and Wales host the World Cup later this year . Suave: Harry, in a sharp navy suit, walks along the side of the hallowed Twickenham turf before the match . The Six Nations is the last competitive rugby tournament before England host the World Cup later this year. The tournament begins on September 18 with England taking on Fiji at Twickenham. In 2014 Prince Harry was named as patron of the RFU's All Schools campaign, which aims to bring rugby to 750 more schools by the Rugby World Cup in 2019. Looking up: Prince Harry takes his seat in the stands with Bernard Lapasset, left, chairman of the IRB . Role model: Harry chats to students from Reigate School, who had played before England's match vs France . Charismatic: The Prince - patron of the RFU's All Schools campaign, jokes with the girls before a photo shoot . He is also Patron of the RFU Injured Players Foundation. Although one of the most prominent royal rugby fans (he was famously in attendance when England lifted the Webb Ellis Cup in Australia in 2003), the Prince is by no means the only one. His brother Prince William is also a fan and enjoys a similar position at the Welsh RFU while the Princess Royal is patron of Scottish rugby and regularly appears at Murrayfield on match day.","Prince Harry in attendance for England's crunch match against France .
He met two girls' rugby teams and chatted with members of armed forces .
Sporting a navy blue suit, the Prince belted out the national anthem .
England beat France 55-35 in pulsating match, but Ireland win Six Nations .","Prince Harry, an avid rugby fan and Vice Patron of the Rugby Football Union (RFU), watched anxiously as England narrowly missed out on winning the Six Nations championship by just six points. Despite a thrilling 55-35 victory over France, England ultimately finished second behind Ireland in the tournament. The Prince had been spotted at Twickenham, chatting with members of the armed forces and students from local schools, before taking his seat to watch the match.",5.04,0.416,0.13008130081300814,0.208,0.288945790550927,0.8702617883682251,0.8785380125045776,0.874380350112915
9f6fbd3c497c4d28879bebebea220884f03eb41a,cnn_dailymail,llama3.1:latest,"A Triple M Radio producer has been inundated with messages from prospective partners after a workplace ploy. After Tuesday's Grill Team show, hosts Matty Johns, Mark Geyer and Gus Worland uploaded a picture of 26-year-old Nick Slater to Facebook with a mobile number where people could reach him. In less than 24 hours, he had received over 130 messages from a varied range of male and female listeners, reports News.com. Triple M producer Nick Slater, (C), pictured with his Grill Team hosts, was flooded with 130 voicemails in 24 hours . Workmates and Grill Team hosts Matty Johns, Mark Geyer and Gus Worland uploaded a picture of 26-year-old Nick Slater to Facebook with a mobile number where people could reach out . The ploy came about after a waitress handed the audio engineer her number while out at some work drinks. Unconvinced it was a one off, his colleagues decided to put it to the test and see if anyone else was romantically interested in him. 'The Producers had a few drinks on Friday & Handsome Nick got a number off the waitress in the first 10 minutes!' 'We don't believe him that this never happens to him. Here's Nicks number...let's see how many calls he gets!' Slater received a torrent of voicemails, ranging from date proposals to 'heavy panting' 26-year-old Slater, a sound engineer, and his Triple M Grill Team workmates . In the following 24 hours Slater received a torrent of voicemails, ranging from date proposals to 'heavy panting.' 'There was a wide range of messages from some nice girls and a few nice blokes as well. There was even a grandma in there too.,' he said. 'We went through and listened to most of them. It was mostly people looking for lust, telling me to give them a call … it was all good fun.' Slater said his long-term girlfriend Kimberley understood of the station's antics, and she found the gag 'hilarious.' Slater said his long-term girlfriend Kimberley (pictured)  found the umber ploy 'hilarious .","Nick Slater's colleagues uploaded a picture to Facebook with his number .
In less than 24 hours, he received over 130 messages from varied people .
Slater said his long-term girlfriend Kimberly found the ploy 'hilarious'","A Triple M Radio producer, Nick Slater, was inundated with over 130 messages from listeners after his colleagues posted a picture of him on Facebook with their mobile number. The stunt came about after a waitress gave Slater her number at work drinks, leading his colleagues to test whether he received romantic interest from others. Slater's long-term girlfriend found the prank ""hilarious"" and most of the messages were from people looking for casual relationships or lustful encounters.",5.07,0.4521739130434782,0.19469026548672563,0.31304347826086953,0.41189559183327124,0.8843871355056763,0.9055206179618835,0.8948291540145874
